Original identifier,(AbbreviationExpansion ...),Split Identifier
TL_updateServiceNotification,(tl:telegram),(TL) update Service Notification
TLdeserialize,(tl:telegram),(TL) deserialize
TLObject,(tl:telegram),(TL) Object
TLRPC,(tlrpc:telegram remote procedure call),(TL R P C)
TLRPC,(tlrpc:telegram remote procedure call),(TLRPC)
to_id,(id:identifier),to (id)
track2SampleSizes,(2:to),track (2) Sample Sizes
ttl,(ttl:time to live),(ttl)
ttl_seconds,(ttl:time to live),(ttl) seconds
TYPE_TEXT_FLAG_AUTO_CORRECT,(auto:automatically),type text flag (auto) correct
TYPE_TEXT_FLAG_CAP_SENTENCES,(cap:capitalize),type text flag (cap) sentences
TYPE_TEXT_FLAG_MULTI_LINE,(multi:multiple),type text flag (multi) line
u,(u:user),(u)
uid,(u:unique-id:identifier),(u) (id)
updateMinMax,(min:minimum-max:maximum),update (min) (max)
Uri,(uri:universal resource identifier),(u r i)
url,(url:uniform resource locator),(u r l)
US,(us:united states),(US)
UserConfig,(config:configuration),user (config)
usersDict,(dict:dictionary),users (dict)
v,(v:view),(v)
velocityX,(x:mathvariable),velocity (x)
velocityY,(y:mathvariable),velocity (y)
ViewCompat,(compat:compatibility),view (compat)
ViewPropertyAnimatorCompat,(compat:compatibility),view property animator (compat)
VpaListenerAdapter,(vpa:view property animator),(v p a) listener adapter
vx,(v:velocity-x:mathvariable),(v)(x)
vy,(v:velocity-y:mathvariable),(v)(y)
widthMeasureSpec,(spec:specification),width measure (spec)
windowLayoutParams,(params:parameters),window Layout (Params)
wm,(wm:windows manager),(wm)
writeBool,(bool:boolean),write (Bool)
writedSinceLastMdat,(m:media-dat:data),writed Since Last (M) (dat)
writeInt32,(int:integer),write (Int) 32
writeInt64,(int:integer),write (Int) 64
writeNewMdat,(m:media-dat:data),write new (m) (dat)
writeUInt32,(u:unsigned-int:integer),write (U)(Int) 32
writeUInt64,(u:unsigned-int:integer),write (U)(Int) 64
x,(x:integer),(x)
x,(x:offset),(x)
